Taxon,Cluster_name
1016163,walzothal
1020421,walzothal
1005454,walzothal
1019888,walzothal
1031171,walzothal
1028015,walzothal
1009713,walzothal
1020403,walzothal
1016175,walzothal
1013475,walzothal
1005446,walzothal
1013502,walzothal
1031198,walzothal
1016788,walzothal
1013527,walzothal
1009675,walzothal
1016776,walzothal
1016208,walzothal
1019852,walzothal
1020369,walzothal
1016216,walzothal
1048148,zai
1044914,zai
1038255,zai
997641,zai
1003558,zai
982425,zai
1001022,zai
1038135,zai
1051227,zai
980953,zai
993009,zai
1009722,zai
983251,zai
980968,zai
996633,zai
1004284,zai
1019854,egez
1019860,egez
1028077,egez
1013481,egez
1017804,egez
1031189,egez
1016815,egez
1013499,egez
1016800,egez
1028031,moui
1031172,moui
1020427,moui
975747,gicei
1005438,gicei
997617,awahaw
1020422,wuvzi
1020415,amegpos
1020400,rauu
1020366,aeo
1020352,walo
1019911,logdapek
1017778,guson
1016842,butu
1016809,ukoso
1016695,iriu
1013459,wujva
1005430,ewar
